pedagoogiline praktikum ii,FLFL.00.014
doktoritöö,LOMR.00.074
gastroenteroloogia,ARSK.01.034
matemaatiline füüsika,LTFY.04.002
tehnoloogiaõpetus didaktika,HVVK.01.050
rakendusprogrammeerimine geoinformaatika,LOOM.02.037
filosoofiakonverents i,FLFI.00.110
meeskonnatöö praktika,HVLC.00.004
fatsiaalne analüüs,LOOM.03.002
neuroturundus,SVMJ.09.003
kirivöö kudumine,HVVK.14.007
aatomspektroskoopia,LOKT.06.047
laps sotsiaalne areng,SOPH.00.332
tõenäosusteooria ii,MTMS.02.004
katseplaneerimine teooria,MTMS.01.010
keeleõpe teooria ja meetod,FLGR.01.088
prantsuse kirjandus seminar,FLGR.03.294
anorgaaniline keemia ii,LOKT.01.013
kirjandus ja müüt,FLKU.05.239
ameerika kirjandus ja kultuur teemaseminar,FLGR.01.194
mikrobioloogia i,LOMR.03.016
inglise keel variant,FLGR.01.180
tõlkesemiootika,FLSE.00.274
programmeerimine,SVNC.00.054
rahvusvaheline suhe,SORG.00.070
inglise keel õpetaja põhipraktika,FLGR.01.364
probleemipõhine filosoofia,FLFI.00.103
inglise kirjandus seminar,FLGR.01.187
suhtlemine ja tagasiside haridusorganisatsioon,SHHI.01.030
tekstiilitehnoloogia,HVVK.01.053
atmosfäärifüüsika,LOFY.05.002
eksperimentaalmeetod materjalifüüsika,LOFY.02.027
ravimpreparaat toimekestvus modifitseerimine,ARFA.02.036
arvutisimulatsioon seminar,LOTI.05.076
audiovisuaalne produktsioon praktikum,SVUH.01.004
lepinguõigus,P2PC.00.397
käsitöö didaktika,HVVK.01.003
praktiline eesti ja vene keel kõrvutav grammatika,HVEE.05.017
toitumine alune ja tarbijakasvatus,HVVK.01.091
algoritmika,MTAT.03.238
projektitöö i,P2VK.05.324
alusharidus praktika sobituma või erirühm laps,HTEP.02.109
esteetika,FLFI.00.023
magistritöö ( maalikunst ),FLKU.01.142
soome maa ja ajalugu,FLEE.06.008
arvutikäsitusõpetus,MTAT.03.010
prantsuse teater,FLGR.03.295
keskkond mikrobioloogia,LOOM.02.279
keemia põhimõiste,LOKT.01.008
keskkond ja töötervishoid,ARTH.01.045
subkultuur semiootiline analüüs,FLSE.00.277
kriminaalmenetlus,P2OG.02.155
hispaania kirjandus seminar,HVLC.03.019
semiootika ajalugu : põhimõiste ja - tekst,FLSE.00.249
ajalugu ja ühiskonnaõpetus didaktika,FLAJ.03.140
ajalugu ja ühiskonnaõpetus põhipraktika,FLAJ.03.191
informaatika didaktika ii,MTAT.03.301
"eesti keel arstiteadus tudeng i , tase 0 > a1 . 2",HVLC.09.001
